verdict,credit_at_stake,canonical_id,canonical_name,canonical_country,duplicate_id,duplicate_name,duplicate_country,group_total
"DO NOT MERGE: different countries, distinct institutions",1.3,https://openalex.org/I5124864,École Polytechnique Fédérale de Lausanne,CH,https://openalex.org/I83783590,École Polytechnique Fédérale de Lausanne,FR,2151.6
"DO NOT MERGE: different countries, distinct institutions",1.3,https://openalex.org/I60158472,Concordia University,CA,https://openalex.org/I161856759,Concordia University,US,379.3
"DO NOT MERGE: different countries, distinct institutions",1.3,https://openalex.org/I4210112052,Indian Institute of Technology Goa,IN,https://openalex.org/I4210122508,Indian Institute of Technology Goa,US,14.0
"DO NOT MERGE: different countries, distinct institutions",1.2,https://openalex.org/I4210112059,African Institute for Mathematical Sciences,RW,https://openalex.org/I148561064,African Institute for Mathematical Sciences,ZA,3.5
"DO NOT MERGE: different countries, distinct institutions",1.1,https://openalex.org/I4210148693,Metropolitan University,BD,https://openalex.org/I4210142444,Metropolitan University,VE,3.6
"DO NOT MERGE: different countries, distinct institutions",1.1,https://openalex.org/I102272798,INSEAD,FR,https://openalex.org/I4210152270,INSEAD,SG,4.2
"DO NOT MERGE: different countries, distinct institutions",0.9,https://openalex.org/I53110688,University of Córdoba,ES,https://openalex.org/I324290372,University of Córdoba,CO,11.1
"DO NOT MERGE: different countries, distinct institutions",0.9,https://openalex.org/I205051169,Kingston University,GB,https://openalex.org/I4210154901,Kingston University,US,11.6
"DO NOT MERGE: different countries, distinct institutions",0.9,https://openalex.org/I4210118363,Indian Institute of Technology Palakkad,KR,https://openalex.org/I4210113248,Indian Institute of Technology Palakkad,IN,3.7
"DO NOT MERGE: different countries, distinct institutions",0.8,https://openalex.org/I1877545,Saint Francis University,HK,https://openalex.org/I181950316,Saint Francis University,US,5.1
"DO NOT MERGE: different countries, distinct institutions",0.7,https://openalex.org/I120250893,New York University Abu Dhabi,AE,I4210162871,New York University Abu Dhabi,US,110.6
"DO NOT MERGE: different countries, distinct institutions",0.7,https://openalex.org/I4210092510,National University,SD,https://openalex.org/I4210112098,National University,US,7.9
"DO NOT MERGE: different countries, distinct institutions",0.7,https://openalex.org/I86613570,Universidad Panamericana,MX,https://openalex.org/I4210160924,Universidad Panamericana,GT,3.3
"DO NOT MERGE: different countries, distinct institutions",0.7,https://openalex.org/I162096671,Universidad de Los Andes,CO,https://openalex.org/I4210143738,Universidad de Los Andes,BO,20.6
"DO NOT MERGE: different countries, distinct institutions",0.7,https://openalex.org/I4210148693,Metropolitan University,BD,https://openalex.org/I4210092976,Metropolitan University,RS,3.6
"DO NOT MERGE: different countries, distinct institutions",0.6,https://openalex.org/I90745801,University of New England,AU,https://openalex.org/I275799156,University of New England,US,11.2
"DO NOT MERGE: different countries, distinct institutions",0.5,https://openalex.org/I157556583,Institute of Science and Technology Austria,AT,https://openalex.org/I4210096019,Institute of Science and Technology Austria,GB,203.4
"DO NOT MERGE: different countries, distinct institutions",0.5,https://openalex.org/I1310815967,Central European Institute of Technology,CZ,https://openalex.org/I4210117288,Central European Institute of Technology,AT,24.8
"DO NOT MERGE: different countries, distinct institutions",0.5,https://openalex.org/I8833935,Universidad de León,ES,https://openalex.org/I4210139291,Universidad de León,MX,4.8
"DO NOT MERGE: different countries, distinct institutions",0.5,https://openalex.org/I142879360,Universidad del Norte,CO,https://openalex.org/I4210121190,Universidad del Norte,MX,3.3
"DO NOT MERGE: different countries, distinct institutions",0.5,https://openalex.org/I4210162377,National Institute of Science and Technology,ID,https://openalex.org/I4210098947,National Institute of Science and Technology,IN,1.4
"DO NOT MERGE: different countries, distinct institutions",0.2,https://openalex.org/I76569877,Southeast University,CN,https://openalex.org/I178315698,Southeast University,CN,2803.4
"DO NOT MERGE: different countries, distinct institutions",0.2,https://openalex.org/I12003341,National University of Science and Technology,RU,https://openalex.org/I312958679,National University of Science and Technology,ZW,12.5
"DO NOT MERGE: different countries, distinct institutions",0.2,https://openalex.org/I119942576,University of the Pacific,US,https://openalex.org/I919628346,University of the Pacific,PE,4.8
"DO NOT MERGE: different countries, distinct institutions",0.2,https://openalex.org/I60488453,Middlesex University,GB,https://openalex.org/I4210127577,Middlesex University,MT,6.8
"DO NOT MERGE: different countries, distinct institutions",0.2,https://openalex.org/I4210122369,Universidad Santo Tomás,CL,https://openalex.org/I2800166025,Universidad Santo Tomás,CO,0.9
"DO NOT MERGE: different countries, distinct institutions",0.2,https://openalex.org/I183941352,Transnational University Limburg,NL,https://openalex.org/I4210127597,Transnational University Limburg,BE,0.6
"DO NOT MERGE: different countries, distinct institutions",0.2,https://openalex.org/I157674215,Presidency University,IN,https://openalex.org/I4210132279,Presidency University,BD,1.6
"DO NOT MERGE: different countries, distinct institutions",0.2,https://openalex.org/I4210100353,Universidad del Mar,CL,https://openalex.org/I4210093905,Universidad del Mar,MX,0.4
"DO NOT MERGE: different countries, distinct institutions",0.2,https://openalex.org/I193555791,Delta State University,NG,https://openalex.org/I82917088,Delta State University,US,0.4
"DO NOT MERGE: different countries, distinct institutions",0.1,https://openalex.org/I96415178,University of Defence,CZ,https://openalex.org/I4210153194,University of Defence,RS,2.2
"DO NOT MERGE: different countries, distinct institutions",0.1,https://openalex.org/I143578492,Asia University,TW,https://openalex.org/I3141906898,Asia University,JP,4.2
"DO NOT MERGE: different countries, distinct institutions",0.1,https://openalex.org/I102272798,INSEAD,FR,https://openalex.org/I4210149427,INSEAD,AE,4.2
