institution_id,institution_name,area,venue,year,pub_count,adjusted_count
https://openalex.org/I47720641,Huazhong University of Science and Technology,powerelec,tpel,2024,0,62.98333
https://openalex.org/I150229711,University of Electronic Science and Technology of China,devices,ted,2022,0,62.77347
https://openalex.org/I165932596,National University of Singapore,flagship,nat-comms,2025,0,62.45522
https://openalex.org/I47720641,Huazhong University of Science and Technology,flagship,nat-comms,2024,0,62.40873
https://openalex.org/I126520041,University of Science and Technology of China,flagship,prl,2025,0,62.34909
https://openalex.org/I36258959,University of California San Diego,flagship,pnas,2020,0,62.14464
https://openalex.org/I126520041,University of Science and Technology of China,sigproc,icassp,2026,0,61.99482
https://openalex.org/I76130692,Zhejiang University,sigproc,icassp,2026,0,61.8617
https://openalex.org/I20231570,Peking University,flagship,nat-comms,2021,0,61.83925
https://openalex.org/I74801974,The University of Tokyo,flagship,nat-comms,2024,0,61.54179
https://openalex.org/I241749,University of Cambridge,flagship,nat-comms,2021,0,61.47703
https://openalex.org/I139759216,Beijing University of Posts and Telecommunications,sigproc,icassp,2026,0,61.38276
https://openalex.org/I106165777,University of Central Florida,photonics,cleo,2019,0,61.09076
https://openalex.org/I204983213,Harbin Institute of Technology,sigproc,icassp,2026,0,60.89304
https://openalex.org/I20231570,Peking University,flagship,nat-comms,2022,0,60.75792
https://openalex.org/I47720641,Huazhong University of Science and Technology,powerelec,tpel,2025,0,59.94524
https://openalex.org/I136199984,Harvard University,flagship,nat-comms,2017,0,59.90663
https://openalex.org/I74973139,Carnegie Mellon University,robotics,icra,2024,0,59.68118
https://openalex.org/I97018004,Stanford University,flagship,nat-comms,2018,0,59.66613
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,nat-comms,2024,0,59.58438
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,tap,2019,0,59.25714
https://openalex.org/I32971472,Yale University,flagship,pnas,2016,0,59.07158
https://openalex.org/I136199984,Harvard University,flagship,nature,2019,0,59.01714
https://openalex.org/I99065089,Tsinghua University,image,cvpr,2023,0,59.00333
